BEEID,CNUM,CHOICE,SYM,LOWNUM,HIGHNUM,SHAPE
6,58,1,S,4,10,STAR
6,59,1,S,8,10,TRIANGLE
6,60,1,S,8,10,TRIANGLE
6,61,1,S,8,10,TRIANGLE
6,62,0,S,4,10,CIRCLE
6,63,0,S,4,10,CIRCLE
6,64,0,S,4,10,CIRCLE
6,65,1,S,4,10,CIRCLE
6,66,1,S,4,6,TRIANGLE
6,67,1,S,4,6,TRIANGLE
6,68,1,S,6,8,SQUARE
6,69,1,S,6,8,SQUARE
6,70,0,S,6,8,SQUARE
6,71,1,S,4,6,CIRCLE
6,72,0,S,4,6,CIRCLE
6,73,0,S,4,6,CIRCLE
6,74,1,S,4,6,CIRCLE
6,75,1,S,4,10,SQUARE
6,76,1,S,4,10,SQUARE
6,77,1,S,4,10,SQUARE
6,78,1,S,4,8,STAR
6,79,0,S,4,8,STAR
6,80,1,S,6,10,TRIANGLE
6,81,0,S,6,10,TRIANGLE
6,82,1,S,6,10,TRIANGLE
6,83,1,S,8,10,SQUARE
6,84,0,S,8,10,SQUARE
6,85,0,S,6,8,CIRCLE
6,86,1,S,6,8,CIRCLE
6,87,1,S,6,8,CIRCLE
6,88,0,S,4,8,TRIANGLE
6,89,1,S,4,8,TRIANGLE
6,90,1,S,4,8,TRIANGLE
6,91,1,S,4,8,TRIANGLE
6,92,1,S,6,10,SQUARE
6,93,1,S,6,10,SQUARE
6,94,1,S,6,10,SQUARE
6,95,1,S,4,6,CIRCLE
6,96,1,S,4,6,CIRCLE
6,97,1,S,4,6,CIRCLE
6,98,1,S,4,6,CIRCLE
6,99,1,S,8,10,STAR
6,100,1,S,8,10,STAR
7,1,1,S,4,10,SQUARE
7,2,1,S,4,10,SQUARE
7,3,0,S,4,10,SQUARE
7,4,0,S,4,10,SQUARE
7,5,0,S,4,10,SQUARE
7,6,0,S,4,10,SQUARE
7,7,0,S,4,10,SQUARE
7,8,0,S,4,10,SQUARE
7,9,0,S,4,10,SQUARE
7,10,1,S,4,10,SQUARE
7,11,1,S,8,10,TRIANGLE
7,12,0,S,8,10,TRIANGLE
7,13,1,S,8,10,TRIANGLE
7,14,0,S,8,10,TRIANGLE
7,15,1,S,8,10,TRIANGLE
7,16,0,S,8,10,TRIANGLE
7,17,1,S,8,10,TRIANGLE
7,18,0,S,8,10,TRIANGLE
7,19,0,S,8,10,TRIANGLE
7,20,0,S,8,10,TRIANGLE
7,21,0,S,4,6,CIRCLE
7,22,1,S,4,6,CIRCLE
7,23,1,S,4,6,CIRCLE
7,24,1,S,4,6,CIRCLE
7,25,1,S,4,6,CIRCLE
7,26,1,S,4,6,CIRCLE
7,27,1,S,4,8,STAR
7,28,0,S,4,8,STAR
7,29,1,S,4,8,STAR
7,30,1,S,4,8,STAR
7,31,0,S,4,8,STAR
7,32,0,S,4,8,STAR
7,33,0,S,4,8,STAR
7,34,0,S,4,8,STAR
7,35,0,S,4,8,STAR
7,36,1,S,4,8,STAR
7,37,1,S,6,8,SQUARE
7,38,1,S,6,8,SQUARE
7,39,1,S,6,8,SQUARE
7,40,1,S,6,8,SQUARE
7,41,1,S,6,8,SQUARE
7,42,1,S,6,10,TRIANGLE
7,43,0,S,6,10,TRIANGLE
7,44,0,S,6,10,TRIANGLE
7,45,0,S,6,10,TRIANGLE
7,46,1,S,6,10,TRIANGLE
7,47,0,S,6,10,TRIANGLE
7,48,1,S,6,10,TRIANGLE
7,49,1,S,6,10,TRIANGLE
